Barrels 31 gallons,Number of Breweries ,Total Barrels ,Taxable Removals ,Total Shipped 
"6,000,001 Barrels and Over",17,157780750.2,145588666.8,4373957.04
"2,000,000 to 6,000,000 Barrels",3,11735116,11489249.17,151766.17
"1,000,001 to 1,999,999 Barrels",5,6864214.06,6526545.81,75749.98
"500,001 to 1,000,000 Barrels",7,4654830.64,3809078.87,4634.92
"100,001 to 500,000 Barrels",39,7810357.34,6085448.83,236207.55
"60,001 to 100,000 Barrels",20,1468172.46,1250720.93,97318.04
"30,001 to 60,000 Barrels",50,2179429.59,1858876.35,62416.26
"15,001 to 30,000 Barrels",44,913884.27,764190.6,13281.07
"7,501 to 15,000 Barrels",77,821100.64,715087.67,11054.03
"1,001 to 7,500 Barrels",564,1402600.67,1249661.17,3610.03
"1 to 1,000 Barrels ",1604,516746.49,459217.49,1220.38
Total,2430,196147202.3,179796743.7,5031215.47
