Barrels 31 gallons,Number of Breweries ,Total Barrels,Taxable Removals ,Total Shipped
"6,000,001 Barrels and Over",15,125788474,116321254.5,4208092.09
"2,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136.04
"1,000,001 to 1,999,999 Barrels",5,6058176.3,6223929.3,2059.29
"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599.12
"100,001 to 500,000 Barrels",42,8373874.82,7139034.69,80432.04
"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048.57
"30,001 to 60,000 Barrels",64,2675606.37,2906735.84,39494.3
"15,001 to 30,000 Barrels",102,2166277.84,1891960.76,23889.97
"7,501 to 15,000 Barrels",159,1680544.75,1484609.2,3115.68
"1,001 to 7,500 Barrels",1183,3151130.26,2901015.17,7509.29
"1 to 1,000 Barrels",4577,1321901.27,1293960.32,2296.92
Total,6400,179720164.3,167077232.6,5066858.67
